Ex/EFF DATE,TYPE,CASH AMOUNT,DECLARATION DATE,RECORD DATE,PAYMENT DATE
10/24/2022,CASH,$0.16 ,10/21/2022,10/25/2022,11/1/2022
9/19/2022,CASH,$0.17 ,9/16/2022,9/20/2022,9/27/2022
8/22/2022,CASH,$0.18 ,8/19/2022,8/23/2022,8/30/2022
7/18/2022,CASH,$0.18 ,7/15/2022,7/19/2022,7/26/2022
6/21/2022,CASH,$0.17 ,6/17/2022,6/22/2022,6/29/2022
5/23/2022,CASH,$0.18 ,5/20/2022,5/24/2022,6/1/2022
4/18/2022,CASH,$0.21 ,4/14/2022,4/19/2022,4/26/2022
3/21/2022,CASH,$0.21 ,3/18/2022,3/22/2022,3/29/2022
2/22/2022,CASH,$0.20 ,2/18/2022,2/23/2022,3/2/2022
1/24/2022,CASH,$0.20 ,1/21/2022,1/25/2022,2/1/2022
11/22/2021,CASH,$0.22 ,11/19/2021,11/23/2021,12/1/2021
10/18/2021,CASH,$0.20 ,10/15/2021,10/19/2021,10/26/2021
9/20/2021,CASH,$0.19 ,9/17/2021,9/21/2021,9/28/2021
8/23/2021,CASH,$0.19 ,8/20/2021,8/24/2021,8/31/2021
7/19/2021,CASH,$0.22 ,7/16/2021,7/20/2021,7/27/2021
6/21/2021,CASH,$0.19 ,6/18/2021,6/22/2021,6/29/2021
5/24/2021,CASH,$0.22 ,5/21/2021,5/25/2021,6/2/2021
4/19/2021,CASH,$0.23 ,4/16/2021,4/20/2021,4/27/2021
3/22/2021,CASH,$0.22 ,3/19/2021,3/23/2021,3/30/2021
2/22/2021,CASH,$0.23 ,2/19/2021,2/23/2021,3/2/2021
1/19/2021,CASH,$0.23 ,1/15/2021,1/20/2021,1/27/2021
12/30/2020,CASH,$0.23 ,12/29/2020,12/31/2020,1/8/2021
11/23/2020,CASH,$0.22 ,11/20/2020,11/24/2020,12/2/2020
10/19/2020,CASH,$0.22 ,10/16/2020,10/20/2020,10/27/2020
9/21/2020,CASH,$0.21 ,9/18/2020,9/22/2020,9/29/2020
8/24/2020,CASH,$0.22 ,8/21/2020,8/25/2020,9/1/2020
7/20/2020,CASH,$0.21 ,7/17/2020,7/21/2020,7/28/2020
6/22/2020,CASH,$0.21 ,6/19/2020,6/23/2020,6/30/2020
5/18/2020,CASH,$0.20 ,5/15/2020,5/19/2020,5/27/2020
4/20/2020,CASH,$0.20 ,4/17/2020,4/21/2020,4/28/2020
3/23/2020,CASH,$0.18 ,3/20/2020,3/24/2020,3/31/2020
2/24/2020,CASH,$0.24 ,2/21/2020,2/25/2020,3/3/2020
1/21/2020,CASH,$0.20 ,1/17/2020,1/22/2020,1/29/2020
12/30/2019,CASH,$0.17 ,12/27/2019,12/31/2019,1/8/2020
11/20/2019,CASH,$0.20 ,11/19/2019,11/21/2019,11/29/2019
10/23/2019,CASH,$0.18 ,10/22/2019,10/24/2019,10/31/2019
9/25/2019,CASH,$0.18 ,9/24/2019,9/26/2019,10/3/2019
8/21/2019,CASH,$0.23 ,8/20/2019,8/22/2019,8/29/2019
7/24/2019,CASH,$0.17 ,7/23/2019,7/25/2019,8/1/2019
6/26/2019,CASH,$0.22 ,6/25/2019,6/27/2019,7/5/2019
5/22/2019,CASH,$0.21 ,5/21/2019,5/23/2019,5/31/2019
4/24/2019,CASH,$0.18 ,4/23/2019,4/25/2019,5/2/2019
3/20/2019,CASH,$0.20 ,3/19/2019,3/21/2019,3/28/2019
2/20/2019,CASH,$0.19 ,2/19/2019,2/21/2019,2/28/2019
1/23/2019,CASH,$0.22 ,1/22/2019,1/24/2019,1/31/2019
12/28/2018,CASH,$0.17 ,12/27/2018,12/31/2018,1/8/2019
11/21/2018,CASH,$0.23 ,11/20/2018,11/23/2018,11/27/2018
10/24/2018,CASH,$0.25 ,10/23/2018,10/25/2018,10/30/2018
9/26/2018,CASH,$0.20 ,9/25/2018,9/27/2018,10/2/2018
8/22/2018,CASH,$0.23 ,8/21/2018,8/23/2018,8/28/2018
7/25/2018,CASH,$0.18 ,7/24/2018,7/26/2018,7/31/2018
6/20/2018,CASH,$0.20 ,6/19/2018,6/21/2018,6/26/2018
5/23/2018,CASH,$0.22 ,5/22/2018,5/24/2018,5/29/2018
4/25/2018,CASH,$0.23 ,4/24/2018,4/26/2018,5/1/2018
3/21/2018,CASH,$0.25 ,3/20/2018,3/22/2018,3/27/2018
2/21/2018,CASH,$0.25 ,2/20/2018,2/22/2018,2/27/2018
1/24/2018,CASH,$0.25 ,1/23/2018,1/25/2018,1/30/2018
12/20/2017,CASH,$0.14 ,12/19/2017,12/21/2017,12/26/2017
11/22/2017,CASH,$0.13 ,11/21/2017,11/24/2017,11/28/2017
10/25/2017,CASH,$0.15 ,10/24/2017,10/26/2017,10/31/2017
9/20/2017,CASH,$0.15 ,9/19/2017,9/21/2017,9/26/2017
8/23/2017,CASH,$0.20 ,8/22/2017,8/25/2017,8/29/2017
7/26/2017,CASH,$0.16 ,7/25/2017,7/28/2017,8/1/2017
6/21/2017,CASH,$0.22 ,6/20/2017,6/23/2017,6/27/2017
5/24/2017,CASH,$0.13 ,5/23/2017,5/26/2017,5/30/2017
4/26/2017,CASH,$0.14 ,4/25/2017,4/28/2017,5/2/2017
3/22/2017,CASH,$0.12 ,3/21/2017,3/24/2017,3/28/2017
2/22/2017,CASH,$0.10 ,2/21/2017,2/24/2017,2/28/2017
1/25/2017,CASH,$0.13 ,1/24/2017,1/27/2017,1/31/2017
12/21/2016,CASH,$0.15 ,12/20/2016,12/23/2016,12/27/2016
11/23/2016,CASH,$0.16 ,11/22/2016,11/28/2016,11/29/2016
10/26/2016,CASH,$0.15 ,10/25/2016,10/28/2016,11/1/2016
9/21/2016,CASH,$0.19 ,9/20/2016,9/23/2016,9/27/2016
8/24/2016,CASH,$0.13 ,8/23/2016,8/26/2016,8/30/2016
7/20/2016,CASH,$0.14 ,7/19/2016,7/22/2016,7/26/2016
6/22/2016,CASH,$0.20 ,6/21/2016,6/24/2016,6/28/2016
5/25/2016,CASH,$0.17 ,5/24/2016,5/27/2016,5/31/2016
4/20/2016,CASH,$0.16 ,4/19/2016,4/22/2016,4/26/2016
3/23/2016,CASH,$0.16 ,3/22/2016,3/28/2016,3/29/2016
